30.468750	30.468750	Right from the start
32.578125	32.578125	We knew that this will never be now, baby
35.625000	35.625000	Be now, baby
38.203125	38.203125	We’re miles apart
40.078125	40.078125	And we just wanna let it free now, baby
43.359375	43.359375	Free now, baby
45.000000	45.000000	‘Cause I’m on- I’m only living for today
48.984375	48.984375	And I know, you’re understanding what I say
53.203125	53.203125	We’re out of time
54.609375	54.609375	So I’m keeping my heart safe and sound
60.703125	60.703125	<break>
66.093750	66.093750	Safe and sound
68.906250	68.906250	<break>
71.718750	71.718750	Safe and sound
76.171875	76.171875	<break>
131.953125	131.953125	Right from the start
133.828125	133.828125	We knew that this will never be now, baby
137.109375	137.109375	Be now, baby
139.453125	139.453125	We’re miles apart
141.328125	141.328125	And we just wanna let it free now, baby
144.609375	144.609375	Free now, baby
146.484375	146.484375	‘Cause I’m on- I’m only living for today
150.000000	150.000000	And I know, you’re understanding what I say
154.218750	154.218750	We’re out of time
155.859375	155.859375	So I’m keeping my heart safe and sound
161.953125	161.953125	<break>
167.343750	167.343750	Safe and sound
170.625000	170.625000	<break>
172.968750	172.968750	Safe and sound
178.359375	178.359375	<break>
240.468750	240.468750	<end>
