8.181818	8.181818	<break>
31.272727	31.272727	[Verse 1]
31.272727	31.272727	街明かり 華やか
33.820872	33.820872	エーテル麻酔 の 冷たさ 
37.090909	37.090909	眠れない 午前二時
39.454545	39.454545	全てが 急速に変わる
42.545455	42.545455	オイル切れのライター
45.497752	45.497752	焼けつくような胃の中
48.363636	48.363636	全てがそう嘘なら
51.272727	51.272727	本当に よかったのにね
54.181818	54.181818	[Pre-chorus]
54.181818	54.181818	君の首を絞める夢を見た
57.090909	57.090909	光の溢れる昼下がり
60.000000	60.000000	君の細い喉が跳ねるのを
62.926067	62.926067	泣き出しそうな眼で見ていた 
68.545455	68.545455	[Chorus]
68.545455	68.545455	核融合炉にさ 飛び込んでみたい と思う
76.702434	76.702434	真っ青な 光 包まれて奇麗
80.181818	80.181818	核融合炉にさ 飛び込んでみたら そしたら
88.363636	88.363636	すべてが許されるような気がして
93.272727	93.272727	<break>
103.272727	103.272727	[Verse 2]
103.272727	103.272727	ベランダの向こう側
105.636364	105.636364	階段を昇ってゆく音
109.090909	109.090909	陰り出した空が
111.459928	111.459928	窓ガラスに 部屋に落ちる
114.545455	114.545455	拡散する夕暮れ
117.487468	117.487468	泣き腫らしたような陽の赤
120.362446	120.362446	融けるように少しずつ
123.257252	123.257252	少しずつ死んでゆく世界
126.181818	126.181818	[Pre-Chorus]
126.181818	126.181818	君の首を絞める夢を見た
129.096431	129.096431	春風に揺れるカーテン
131.822704	131.822704	乾いて切れた唇から
134.905870	134.905870	零れる言葉は泡のよう
140.545455	140.545455	[Chorus]
140.545455	140.545455	核融合炉にさ 飛び込んでみたい と思う
148.725592	148.725592	真っ白に 記憶 融かされて消える
152.181818	152.181818	核融合炉にさ 飛び込んでみたら
158.909091	158.909091	また昔みたいに
160.899638	160.899638	眠れるような そんな気がして
166.000000	166.000000	<break>
186.363636	186.363636	[Bridge]
186.363636	186.363636	時計の秒針や
192.544224	192.544224	テレビの司会者や
198.383404	198.383404	そこにいるけど 見えない誰かの
206.909201	206.909201	笑い声 飽和して反響する
210.359175	210.359175	アレグロ・アジテート
215.272727	215.272727	耳鳴りが消えない 止まない
221.997880	221.997880	アレグロ・アジテート
226.915084	226.915084	耳鳴りが消えない 止まない
236.545455	236.545455	<break>
259.272727	259.272727	[Post-chorus]
259.272727	259.272727	誰もみんな消えてく夢を見た
262.168264	262.168264	真夜中の 部屋の広さと静寂が
266.004872	266.004872	胸につっかえて
268.000000	268.000000	上手に 息ができなくなる
273.636364	273.636364	[Chorus]
273.636364	273.636364	核融合炉にさ 飛び込んでみたら そしたら
281.797425	281.797425	きっと眠るように 消えていけるんだ
285.277139	285.277139	僕のいない朝は 今よりずっと 素晴らしくて
293.455957	293.455957	全ての歯車が噛み合った
296.549036	296.549036	きっと そんな世界だ
308.713168	308.713168	<break>
320.181818	320.181818	<end>
